Sample2,Species,Common_name,Taxa,Sex,Situ,Location,Country,CollectionYear,TissueStorage,SampleType,ExtractionKit,Environment,Class,Order,Rough_Class,Diet
Bird12,Acrocephalus scirpaceus,Reed warbler,Bird,Female,Wild,"Lincolnshire, UK",UK,2019,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird13,Acrocephalus scirpaceus,Reed warbler,Bird,Male,Wild,"Lincolnshire, UK",UK,2019,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird14,Acrocephalus scirpaceus,Reed warbler,Bird,Female,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird15,Acrocephalus scirpaceus,Reed warbler,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird16,Acrocephalus scirpaceus,Reed warbler,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird9,Acrocephalus scirpaceus,Reed warbler,Bird,Female,Wild,"Lincolnshire, UK",UK,2019,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird17,Erithacus rubecula,Robin,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird18,Erithacus rubecula,Robin,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird19,Erithacus rubecula,Robin,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird20,Erithacus rubecula,Robin,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird21,Erithacus rubecula,Robin,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird22,Erithacus rubecula,Robin,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird23,Erithacus rubecula,Robin,Bird,Female,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird24,Erithacus rubecula,Robin,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
T1,Turdus philomelos,Song thrush,Bird,Unknown,Wild,"Wenvoe, South Glamorgan, Wales",UK,2015,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Passeriformes,Aves,Omnivore
T19,Turdus philomelos,Song thrush,Bird,Unknown,Wild,"Wenvoe, South Glamorgan, Wales",UK,2015,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Passeriformes,Aves,Omnivore
T45,Turdus philomelos,Song thrush,Bird,Unknown,Wild,"Wenvoe, South Glamorgan, Wales",UK,2015,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Passeriformes,Aves,Omnivore
T53,Turdus philomelos,Song thrush,Bird,Unknown,Wild,"Wenvoe, South Glamorgan, Wales",UK,2015,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Passeriformes,Aves,Omnivore
T54,Turdus philomelos,Song thrush,Bird,Unknown,Wild,"Wenvoe, South Glamorgan, Wales",UK,2015,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Passeriformes,Aves,Omnivore
T66,Turdus philomelos,Song thrush,Bird,Unknown,Wild,"Wenvoe, South Glamorgan, Wales",UK,2015,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Passeriformes,Aves,Omnivore
T75,Turdus philomelos,Song thrush,Bird,Unknown,Wild,"Wenvoe, South Glamorgan, Wales",UK,2015,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Passeriformes,Aves,Omnivore
T85,Turdus philomelos,Song thrush,Bird,Unknown,Wild,"Wenvoe, South Glamorgan, Wales",UK,2015,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Passeriformes,Aves,Omnivore
E99,Columba oenas,Stock dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2013,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Columbiformes,Aves,Herbivore
F1,Columba oenas,Stock dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2014,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Columbiformes,Aves,Herbivore
F10,Columba oenas,Stock dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2014,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Columbiformes,Aves,Herbivore
F11,Columba oenas,Stock dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2013,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Columbiformes,Aves,Herbivore
F12,Columba oenas,Stock dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2013,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Columbiformes,Aves,Herbivore
F2,Columba oenas,Stock dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2014,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Columbiformes,Aves,Herbivore
F3,Columba oenas,Stock dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2013,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Columbiformes,Aves,Herbivore
F5,Columba oenas,Stock dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2014,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Columbiformes,Aves,Herbivore
F8,Columba oenas,Stock dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2014,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Columbiformes,Aves,Herbivore
E69,Streptopelia turtur,Turtle dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2013,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Columbiformes,Aves,Herbivore
E75,Streptopelia turtur,Turtle dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2011,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Columbiformes,Aves,Herbivore
E76,Streptopelia turtur,Turtle dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2011,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Columbiformes,Aves,Herbivore
E81,Streptopelia turtur,Turtle dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2012,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Columbiformes,Aves,Herbivore
E86,Streptopelia turtur,Turtle dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2013,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Columbiformes,Aves,Herbivore
E88,Streptopelia turtur,Turtle dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2012,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Columbiformes,Aves,Herbivore
E89,Streptopelia turtur,Turtle dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2013,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Columbiformes,Aves,Herbivore
F20,Columba palumbus,Woodpigeon,Bird,Unknown,Wild,"East Anglia, UK",UK,2011,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Columbiformes,Aves,Herbivore
F21,Columba palumbus,Woodpigeon,Bird,Unknown,Wild,"East Anglia, UK",UK,2011,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Columbiformes,Aves,Herbivore
F24,Columba palumbus,Woodpigeon,Bird,Unknown,Wild,"East Anglia, UK",UK,2013,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Columbiformes,Aves,Herbivore
F31,Columba palumbus,Woodpigeon,Bird,Unknown,Wild,"East Anglia, UK",UK,2012,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Columbiformes,Aves,Herbivore
F32,Columba palumbus,Woodpigeon,Bird,Unknown,Wild,"East Anglia, UK",UK,2014,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Columbiformes,Aves,Herbivore
F2114,Hypoplectrus puella,Barred hamlet,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine,Actinopterygii,Perciformes,Actinopterygii,Carnivore
F2117,Hypoplectrus puella,Barred hamlet,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine,Actinopterygii,Perciformes,Actinopterygii,Carnivore
F2118,Hypoplectrus puella,Barred hamlet,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine,Actinopterygii,Perciformes,Actinopterygii,Carnivore
F2119,Hypoplectrus puella,Barred hamlet,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine,Actinopterygii,Perciformes,Actinopterygii,Carnivore
F2120,Hypoplectrus puella,Barred hamlet,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine,Actinopterygii,Perciformes,Actinopterygii,Carnivore
F2132,Hypoplectrus puella,Barred hamlet,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine,Actinopterygii,Perciformes,Actinopterygii,Carnivore
F2171,Hypoplectrus puella,Barred hamlet,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine,Actinopterygii,Perciformes,Actinopterygii,Carnivore
F2189,Hypoplectrus puella,Barred hamlet,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine,Actinopterygii,Perciformes,Actinopterygii,Carnivore
F2190,Hypoplectrus puella,Barred hamlet,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine,Actinopterygii,Perciformes,Actinopterygii,Carnivore
F2191,Hypoplectrus puella,Barred hamlet,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine,Actinopterygii,Perciformes,Actinopterygii,Carnivore
F2197,Hypoplectrus puella,Barred hamlet,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine,Actinopterygii,Perciformes,Actinopterygii,Carnivore
F2294,Hypoplectrus puella,Barred hamlet,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine,Actinopterygii,Perciformes,Actinopterygii,Carnivore
C10,Anguilla anguilla,European eel,Fish,Unknown,Wild,"River Crouch, Essex, England",UK,2009,Frozen at -20C,Gut contents,Qiagen PowerSoil kit,Freshwater,Actinopterygii,Anguilliformes,Actinopterygii,Carnivore
C2,Anguilla anguilla,European eel,Fish,Unknown,Wild,"River Crouch, Essex, England",UK,2009,Frozen at -20C,Gut contents,Qiagen PowerSoil kit,Freshwater,Actinopterygii,Anguilliformes,Actinopterygii,Carnivore
C8,Anguilla anguilla,European eel,Fish,Unknown,Wild,"River Crouch, Essex, England",UK,2009,Frozen at -20C,Gut contents,Qiagen PowerSoil kit,Freshwater,Actinopterygii,Anguilliformes,Actinopterygii,Carnivore
C9A,Anguilla anguilla,European eel,Fish,Unknown,Wild,"River Crouch, Essex, England",UK,2009,Frozen at -20C,Gut contents,Qiagen PowerSoil kit,Freshwater,Actinopterygii,Anguilliformes,Actinopterygii,Carnivore
C9B,Anguilla anguilla,European eel,Fish,Unknown,Wild,"River Crouch, Essex, England",UK,2009,Frozen at -20C,Gut contents,Qiagen PowerSoil kit,Freshwater,Actinopterygii,Anguilliformes,Actinopterygii,Carnivore
HB1,Anguilla anguilla,European eel,Fish,Unknown,Wild,"Hether Burn, Cumbria, England",UK,2009,Frozen at -20C,Gut contents,Qiagen PowerSoil kit,Freshwater,Actinopterygii,Anguilliformes,Actinopterygii,Carnivore
HB2,Anguilla anguilla,European eel,Fish,Unknown,Wild,"Hether Burn, Cumbria, England",UK,2009,Frozen at -20C,Gut contents,Qiagen PowerSoil kit,Freshwater,Actinopterygii,Anguilliformes,Actinopterygii,Carnivore
HB3,Anguilla anguilla,European eel,Fish,Unknown,Wild,"Hether Burn, Cumbria, England",UK,2009,Frozen at -20C,Gut contents,Qiagen PowerSoil kit,Freshwater,Actinopterygii,Anguilliformes,Actinopterygii,Carnivore
HB4,Anguilla anguilla,European eel,Fish,Unknown,Wild,"Hether Burn, Cumbria, England",UK,2009,Frozen at -20C,Gut contents,Qiagen PowerSoil kit,Freshwater,Actinopterygii,Anguilliformes,Actinopterygii,Carnivore
HB6,Anguilla anguilla,European eel,Fish,Unknown,Wild,"Hether Burn, Cumbria, England",UK,2009,Frozen at -20C,Gut contents,Qiagen PowerSoil kit,Freshwater,Actinopterygii,Anguilliformes,Actinopterygii,Carnivore
F2390,Chaetodon capistratus,Foureye butterflyfish,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine,Actinopterygii,Perciformes,Actinopterygii,Carnivore
F2394,Chaetodon capistratus,Foureye butterflyfish,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine,Actinopterygii,Perciformes,Actinopterygii,Carnivore
F2397,Chaetodon capistratus,Foureye butterflyfish,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine,Actinopterygii,Perciformes,Actinopterygii,Carnivore
F2405,Chaetodon capistratus,Foureye butterflyfish,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine,Actinopterygii,Perciformes,Actinopterygii,Carnivore
F2407,Chaetodon capistratus,Foureye butterflyfish,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine,Actinopterygii,Perciformes,Actinopterygii,Carnivore
F2417,Chaetodon capistratus,Foureye butterflyfish,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine,Actinopterygii,Perciformes,Actinopterygii,Carnivore
F2418,Chaetodon capistratus,Foureye butterflyfish,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine,Actinopterygii,Perciformes,Actinopterygii,Carnivore
F2421,Chaetodon capistratus,Foureye butterflyfish,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine,Actinopterygii,Perciformes,Actinopterygii,Carnivore
F2436,Chaetodon capistratus,Foureye butterflyfish,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine,Actinopterygii,Perciformes,Actinopterygii,Carnivore
F2446,Chaetodon capistratus,Foureye butterflyfish,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine,Actinopterygii,Perciformes,Actinopterygii,Carnivore
Bird1,Emberiza citrinella,Yellowhammer,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Marine,Aves,Passeriformes,Aves,Omnivore
Bird2,Emberiza citrinella,Yellowhammer,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Marine,Aves,Passeriformes,Aves,Omnivore
Bird3,Emberiza citrinella,Yellowhammer,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Marine,Aves,Passeriformes,Aves,Omnivore
Bird4,Emberiza citrinella,Yellowhammer,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Marine,Aves,Passeriformes,Aves,Omnivore
Bird5,Emberiza citrinella,Yellowhammer,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Marine,Aves,Passeriformes,Aves,Omnivore
Bird6,Emberiza citrinella,Yellowhammer,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Marine,Aves,Passeriformes,Aves,Omnivore
Bird7,Emberiza citrinella,Yellowhammer,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Marine,Aves,Passeriformes,Aves,Omnivore
Bird8,Emberiza citrinella,Yellowhammer,Bird,Female,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Marine,Aves,Passeriformes,Aves,Omnivore
Y01-3-CC33,Halichoeres garnoti,Yellowhead wrasse,Fish,Unknown,Wild,"Caye Caulker, Belize",Belize,2015,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine,Actinopterygii,Labriformes,Actinopterygii,Carnivore
Y1-GLS2,Halichoeres garnoti,Yellowhead wrasse,Fish,Unknown,Wild,"Glover's Reef, Belize",Belize,2015,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine,Actinopterygii,Labriformes,Actinopterygii,Carnivore
Y10-CC52,Halichoeres garnoti,Yellowhead wrasse,Fish,Unknown,Wild,"Glover's Reef, Belize",Belize,2015,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine,Actinopterygii,Labriformes,Actinopterygii,Carnivore
Y11-GLS2,Halichoeres garnoti,Yellowhead wrasse,Fish,Unknown,Wild,"Glover's Reef, Belize",Belize,2015,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine,Actinopterygii,Labriformes,Actinopterygii,Carnivore
Y13-2-CC33,Halichoeres garnoti,Yellowhead wrasse,Fish,Unknown,Wild,"Caye Caulker, Belize",Belize,2015,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine,Actinopterygii,Labriformes,Actinopterygii,Carnivore
Y16-2GLS1,Halichoeres garnoti,Yellowhead wrasse,Fish,Unknown,Wild,"Glover's Reef, Belize",Belize,2015,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine,Actinopterygii,Labriformes,Actinopterygii,Carnivore
Y4-2GLS1,Halichoeres garnoti,Yellowhead wrasse,Fish,Unknown,Wild,"Glover's Reef, Belize",Belize,2015,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine,Actinopterygii,Labriformes,Actinopterygii,Carnivore
Y6-CCS2,Halichoeres garnoti,Yellowhead wrasse,Fish,Unknown,Wild,"Caye Caulker, Belize",Belize,2015,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine,Actinopterygii,Labriformes,Actinopterygii,Carnivore
Y7-GLS2,Halichoeres garnoti,Yellowhead wrasse,Fish,Unknown,Wild,"Glover's Reef, Belize",Belize,2015,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine,Actinopterygii,Labriformes,Actinopterygii,Carnivore
Y9-GLS2,Halichoeres garnoti,Yellowhead wrasse,Fish,Unknown,Wild,"Glover's Reef, Belize",Belize,2015,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine,Actinopterygii,Labriformes,Actinopterygii,Carnivore
APW1,Rhynchophorus phoenicis,African palm weevil larvae,Invertebrate,Unknown,Wild,"Sapele Town, Delta State, Nigeria",Nigeria,2019,Frozen at -20C,Gut contents,ZymoBIOMICS DNA mini kit,Terrestrial,Insecta,Coleoptera,Terrestrial Invertebrate,Herbivore
APW2,Rhynchophorus phoenicis,African palm weevil larvae,Invertebrate,Unknown,Wild,"Sapele Town, Delta State, Nigeria",Nigeria,2019,Frozen at -20C,Gut contents,ZymoBIOMICS DNA mini kit,Terrestrial,Insecta,Coleoptera,Terrestrial Invertebrate,Herbivore
APW3,Rhynchophorus phoenicis,African palm weevil larvae,Invertebrate,Unknown,Wild,"Sapele Town, Delta State, Nigeria",Nigeria,2019,Frozen at -20C,Gut contents,ZymoBIOMICS DNA mini kit,Terrestrial,Insecta,Coleoptera,Terrestrial Invertebrate,Herbivore
APW4,Rhynchophorus phoenicis,African palm weevil larvae,Invertebrate,Unknown,Wild,"Sapele Town, Delta State, Nigeria",Nigeria,2019,Frozen at -20C,Gut contents,ZymoBIOMICS DNA mini kit,Terrestrial,Insecta,Coleoptera,Terrestrial Invertebrate,Herbivore
APW5,Rhynchophorus phoenicis,African palm weevil larvae,Invertebrate,Unknown,Wild,"Sapele Town, Delta State, Nigeria",Nigeria,2019,Frozen at -20C,Gut contents,ZymoBIOMICS DNA mini kit,Terrestrial,Insecta,Coleoptera,Terrestrial Invertebrate,Herbivore
APW6,Rhynchophorus phoenicis,African palm weevil larvae,Invertebrate,Unknown,Wild,"Sapele Town, Delta State, Nigeria",Nigeria,2019,Frozen at -20C,Gut contents,ZymoBIOMICS DNA mini kit,Terrestrial,Insecta,Coleoptera,Terrestrial Invertebrate,Herbivore
BC1,Portunus segnis,Blue swimming crab,Invertebrate,Unknown,Wild,Malta,Malta,2018,70% ethanol,Gut contents,QIAamp Fast DNA Stool Mini kit ,Marine,Malacostraca,Decapoda,Marine Invertebrate,Omnivore
BC2,Portunus segnis,Blue swimming crab,Invertebrate,Unknown,Wild,Malta,Malta,2018,70% ethanol,Gut contents,QIAamp Fast DNA Stool Mini kit ,Marine,Malacostraca,Decapoda,Marine Invertebrate,Omnivore
BC3,Portunus segnis,Blue swimming crab,Invertebrate,Unknown,Wild,Malta,Malta,2018,70% ethanol,Gut contents,QIAamp Fast DNA Stool Mini kit ,Marine,Malacostraca,Decapoda,Marine Invertebrate,Omnivore
BC4,Portunus segnis,Blue swimming crab,Invertebrate,Unknown,Wild,Malta,Malta,2018,70% ethanol,Gut contents,QIAamp Fast DNA Stool Mini kit ,Marine,Malacostraca,Decapoda,Marine Invertebrate,Omnivore
BC5,Portunus segnis,Blue swimming crab,Invertebrate,Unknown,Wild,Malta,Malta,2018,70% ethanol,Gut contents,QIAamp Fast DNA Stool Mini kit ,Marine,Malacostraca,Decapoda,Marine Invertebrate,Omnivore
LFG1,Crangon crangon,Brown shrimp,Invertebrate,Unknown,Wild,"Lancashire, UK",UK,2018,Buffer AE ,Gut contents,Qiagen Blood and Tissue kit with proteinase K,Freshwater,Malacostraca,Decapoda,Marine Invertebrate,Omnivore
LFG16,Crangon crangon,Brown shrimp,Invertebrate,Unknown,Wild,"Lancashire, UK",UK,2018,Buffer AE ,Gut contents,Qiagen Blood and Tissue kit with proteinase K,Freshwater,Malacostraca,Decapoda,Marine Invertebrate,Omnivore
LFG2,Crangon crangon,Brown shrimp,Invertebrate,Unknown,Wild,"Lancashire, UK",UK,2018,Buffer AE ,Gut contents,Qiagen Blood and Tissue kit with proteinase K,Freshwater,Malacostraca,Decapoda,Marine Invertebrate,Omnivore
LFG3,Crangon crangon,Brown shrimp,Invertebrate,Unknown,Wild,"Lancashire, UK",UK,2018,Buffer AE ,Gut contents,Qiagen Blood and Tissue kit with proteinase K,Freshwater,Malacostraca,Decapoda,Marine Invertebrate,Omnivore
LFG4,Crangon crangon,Brown shrimp,Invertebrate,Unknown,Wild,"Lancashire, UK",UK,2018,Buffer AE ,Gut contents,Qiagen Blood and Tissue kit with proteinase K,Freshwater,Malacostraca,Decapoda,Marine Invertebrate,Omnivore
LFG5,Crangon crangon,Brown shrimp,Invertebrate,Unknown,Wild,"Lancashire, UK",UK,2018,Buffer AE ,Gut contents,Qiagen Blood and Tissue kit with proteinase K,Freshwater,Malacostraca,Decapoda,Marine Invertebrate,Omnivore
LFG6,Crangon crangon,Brown shrimp,Invertebrate,Unknown,Wild,"Lancashire, UK",UK,2018,Buffer AE ,Gut contents,Qiagen Blood and Tissue kit with proteinase K,Freshwater,Malacostraca,Decapoda,Marine Invertebrate,Omnivore
LFG7,Crangon crangon,Brown shrimp,Invertebrate,Unknown,Wild,"Lancashire, UK",UK,2018,Buffer AE ,Gut contents,Qiagen Blood and Tissue kit with proteinase K,Freshwater,Malacostraca,Decapoda,Marine Invertebrate,Omnivore
LFG8,Crangon crangon,Brown shrimp,Invertebrate,Unknown,Wild,"Lancashire, UK",UK,2018,Buffer AE ,Gut contents,Qiagen Blood and Tissue kit with proteinase K,Freshwater,Malacostraca,Decapoda,Marine Invertebrate,Omnivore
LFG9,Crangon crangon,Brown shrimp,Invertebrate,Unknown,Wild,"Lancashire, UK",UK,2018,Buffer AE ,Gut contents,Qiagen Blood and Tissue kit with proteinase K,Freshwater,Malacostraca,Decapoda,Marine Invertebrate,Omnivore
B4,Diploptera punctata,Cockroach,Invertebrate,Male,Captive,"Manchester, UK",Captive,2018,Liquid nitrogen and frozen at -80¡C,Gut contents,Qiagen Blood and Tissue kit with proteinase K and lysozyme,Terrestrial,Insecta,Blattodea,Terrestrial Invertebrate,Omnivore
