Sample2,Species,Common_name,Taxa,Sex,Situ,Location,Country,CollectionYear,TissueStorage,SampleType,ExtractionKit,Environment
C19,Amietia hymenopus,Phofung river frog,Amphibian,Juvenile,Wild,"Mont-aux-Sources, Drakensberg National Park, South Africa",South Africa,2015,95% ethanol,Tadpole mouthparts,Qiagen Blood and Tissue kit with proteinase K,Freshwater
F23,Amietia hymenopus,Phofung river frog,Amphibian,Juvenile,Wild,"Mont-aux-Sources, Drakensberg National Park, South Africa",South Africa,2015,95% ethanol,Tadpole mouthparts,Qiagen Blood and Tissue kit with proteinase K,Freshwater
G19,Amietia hymenopus,Phofung river frog,Amphibian,Juvenile,Wild,"Mont-aux-Sources, Drakensberg National Park, South Africa",South Africa,2015,95% ethanol,Tadpole mouthparts,Qiagen Blood and Tissue kit with proteinase K,Freshwater
G25,Amietia hymenopus,Phofung river frog,Amphibian,Juvenile,Wild,"Mont-aux-Sources, Drakensberg National Park, South Africa",South Africa,2015,95% ethanol,Tadpole mouthparts,Qiagen Blood and Tissue kit with proteinase K,Freshwater
H15,Amietia hymenopus,Phofung river frog,Amphibian,Juvenile,Wild,"Mont-aux-Sources, Drakensberg National Park, South Africa",South Africa,2015,95% ethanol,Tadpole mouthparts,Qiagen Blood and Tissue kit with proteinase K,Freshwater
H21,Amietia hymenopus,Phofung river frog,Amphibian,Juvenile,Wild,"Mont-aux-Sources, Drakensberg National Park, South Africa",South Africa,2015,95% ethanol,Tadpole mouthparts,Qiagen Blood and Tissue kit with proteinase K,Freshwater
Bird25,Sylvia atricapilla,Blackcap,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird26,Sylvia atricapilla,Blackcap,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird27,Sylvia atricapilla,Blackcap,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird28,Sylvia atricapilla,Blackcap,Bird,Female,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird29,Sylvia atricapilla,Blackcap,Bird,Female,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
