Sample2,Species,Common_name,Taxa,Sex,Situ,Location,Country,CollectionYear,TissueStorage,SampleType,ExtractionKit,Environment
F12,Columba oenas,Stock dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2013,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
F2,Columba oenas,Stock dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2014,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
F3,Columba oenas,Stock dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2013,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
F5,Columba oenas,Stock dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2014,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
F8,Columba oenas,Stock dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2014,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
E69,Streptopelia turtur,Turtle dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2013,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
E75,Streptopelia turtur,Turtle dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2011,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
E76,Streptopelia turtur,Turtle dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2011,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
E81,Streptopelia turtur,Turtle dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2012,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
E86,Streptopelia turtur,Turtle dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2013,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
E88,Streptopelia turtur,Turtle dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2012,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
E89,Streptopelia turtur,Turtle dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2013,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
F20,Columba palumbus,Woodpigeon,Bird,Unknown,Wild,"East Anglia, UK",UK,2011,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
F21,Columba palumbus,Woodpigeon,Bird,Unknown,Wild,"East Anglia, UK",UK,2011,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
F24,Columba palumbus,Woodpigeon,Bird,Unknown,Wild,"East Anglia, UK",UK,2013,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
F31,Columba palumbus,Woodpigeon,Bird,Unknown,Wild,"East Anglia, UK",UK,2012,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
F32,Columba palumbus,Woodpigeon,Bird,Unknown,Wild,"East Anglia, UK",UK,2014,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
F2114,Hypoplectrus puella,Barred hamlet,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine
F2117,Hypoplectrus puella,Barred hamlet,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine
F2118,Hypoplectrus puella,Barred hamlet,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine
F2119,Hypoplectrus puella,Barred hamlet,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine
F2120,Hypoplectrus puella,Barred hamlet,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine
F2132,Hypoplectrus puella,Barred hamlet,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine
F2171,Hypoplectrus puella,Barred hamlet,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine
F2189,Hypoplectrus puella,Barred hamlet,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine
F2190,Hypoplectrus puella,Barred hamlet,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine
F2191,Hypoplectrus puella,Barred hamlet,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine
F2197,Hypoplectrus puella,Barred hamlet,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine
F2294,Hypoplectrus puella,Barred hamlet,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine
C10,Anguilla anguilla,European eel,Fish,Unknown,Wild,"River Crouch, Essex, England",UK,2009,Frozen at -20C,Gut contents,Qiagen PowerSoil kit,Freshwater
C2,Anguilla anguilla,European eel,Fish,Unknown,Wild,"River Crouch, Essex, England",UK,2009,Frozen at -20C,Gut contents,Qiagen PowerSoil kit,Freshwater
C8,Anguilla anguilla,European eel,Fish,Unknown,Wild,"River Crouch, Essex, England",UK,2009,Frozen at -20C,Gut contents,Qiagen PowerSoil kit,Freshwater
C9A,Anguilla anguilla,European eel,Fish,Unknown,Wild,"River Crouch, Essex, England",UK,2009,Frozen at -20C,Gut contents,Qiagen PowerSoil kit,Freshwater
C9B,Anguilla anguilla,European eel,Fish,Unknown,Wild,"River Crouch, Essex, England",UK,2009,Frozen at -20C,Gut contents,Qiagen PowerSoil kit,Freshwater
HB1,Anguilla anguilla,European eel,Fish,Unknown,Wild,"Hether Burn, Cumbria, England",UK,2009,Frozen at -20C,Gut contents,Qiagen PowerSoil kit,Freshwater
HB2,Anguilla anguilla,European eel,Fish,Unknown,Wild,"Hether Burn, Cumbria, England",UK,2009,Frozen at -20C,Gut contents,Qiagen PowerSoil kit,Freshwater
HB3,Anguilla anguilla,European eel,Fish,Unknown,Wild,"Hether Burn, Cumbria, England",UK,2009,Frozen at -20C,Gut contents,Qiagen PowerSoil kit,Freshwater
HB4,Anguilla anguilla,European eel,Fish,Unknown,Wild,"Hether Burn, Cumbria, England",UK,2009,Frozen at -20C,Gut contents,Qiagen PowerSoil kit,Freshwater
HB6,Anguilla anguilla,European eel,Fish,Unknown,Wild,"Hether Burn, Cumbria, England",UK,2009,Frozen at -20C,Gut contents,Qiagen PowerSoil kit,Freshwater
F2390,Chaetodon capistratus,Foureye butterflyfish,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine
F2394,Chaetodon capistratus,Foureye butterflyfish,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine
F2397,Chaetodon capistratus,Foureye butterflyfish,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine
F2405,Chaetodon capistratus,Foureye butterflyfish,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine
F2407,Chaetodon capistratus,Foureye butterflyfish,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine
F2417,Chaetodon capistratus,Foureye butterflyfish,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine
F2418,Chaetodon capistratus,Foureye butterflyfish,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine
F2421,Chaetodon capistratus,Foureye butterflyfish,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine
F2436,Chaetodon capistratus,Foureye butterflyfish,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine
F2446,Chaetodon capistratus,Foureye butterflyfish,Fish,Unknown,Wild,"Bocas del Toro, Bahia Almirante",Panama,2018,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine
Bird1,Emberiza citrinella,Yellowhammer,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Marine
Bird2,Emberiza citrinella,Yellowhammer,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Marine
Bird3,Emberiza citrinella,Yellowhammer,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Marine
Bird4,Emberiza citrinella,Yellowhammer,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Marine
Bird5,Emberiza citrinella,Yellowhammer,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Marine
Bird6,Emberiza citrinella,Yellowhammer,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Marine
Bird7,Emberiza citrinella,Yellowhammer,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Marine
Bird8,Emberiza citrinella,Yellowhammer,Bird,Female,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Marine
Y01-3-CC33,Halichoeres garnoti,Yellowhead wrasse,Fish,Unknown,Wild,"Caye Caulker, Belize",Belize,2015,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine
Y1-GLS2,Halichoeres garnoti,Yellowhead wrasse,Fish,Unknown,Wild,"Glover's Reef, Belize",Belize,2015,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine
Y10-CC52,Halichoeres garnoti,Yellowhead wrasse,Fish,Unknown,Wild,"Glover's Reef, Belize",Belize,2015,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine
Y11-GLS2,Halichoeres garnoti,Yellowhead wrasse,Fish,Unknown,Wild,"Glover's Reef, Belize",Belize,2015,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine
Y13-2-CC33,Halichoeres garnoti,Yellowhead wrasse,Fish,Unknown,Wild,"Caye Caulker, Belize",Belize,2015,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine
Y16-2GLS1,Halichoeres garnoti,Yellowhead wrasse,Fish,Unknown,Wild,"Glover's Reef, Belize",Belize,2015,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine
Y4-2GLS1,Halichoeres garnoti,Yellowhead wrasse,Fish,Unknown,Wild,"Glover's Reef, Belize",Belize,2015,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine
Y6-CCS2,Halichoeres garnoti,Yellowhead wrasse,Fish,Unknown,Wild,"Caye Caulker, Belize",Belize,2015,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine
Y7-GLS2,Halichoeres garnoti,Yellowhead wrasse,Fish,Unknown,Wild,"Glover's Reef, Belize",Belize,2015,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine
Y9-GLS2,Halichoeres garnoti,Yellowhead wrasse,Fish,Unknown,Wild,"Glover's Reef, Belize",Belize,2015,95% ethanol,Gut contents,Qiagen PowerSoil kit with proteinase K,Marine
APW1,Rhynchophorus phoenicis,African palm weevil larvae,Invertebrate,Unknown,Wild,"Sapele Town, Delta State, Nigeria",Nigeria,2019,Frozen at -20C,Gut contents,ZymoBIOMICS DNA mini kit,Terrestrial
APW2,Rhynchophorus phoenicis,African palm weevil larvae,Invertebrate,Unknown,Wild,"Sapele Town, Delta State, Nigeria",Nigeria,2019,Frozen at -20C,Gut contents,ZymoBIOMICS DNA mini kit,Terrestrial
APW3,Rhynchophorus phoenicis,African palm weevil larvae,Invertebrate,Unknown,Wild,"Sapele Town, Delta State, Nigeria",Nigeria,2019,Frozen at -20C,Gut contents,ZymoBIOMICS DNA mini kit,Terrestrial
APW4,Rhynchophorus phoenicis,African palm weevil larvae,Invertebrate,Unknown,Wild,"Sapele Town, Delta State, Nigeria",Nigeria,2019,Frozen at -20C,Gut contents,ZymoBIOMICS DNA mini kit,Terrestrial
APW5,Rhynchophorus phoenicis,African palm weevil larvae,Invertebrate,Unknown,Wild,"Sapele Town, Delta State, Nigeria",Nigeria,2019,Frozen at -20C,Gut contents,ZymoBIOMICS DNA mini kit,Terrestrial
APW6,Rhynchophorus phoenicis,African palm weevil larvae,Invertebrate,Unknown,Wild,"Sapele Town, Delta State, Nigeria",Nigeria,2019,Frozen at -20C,Gut contents,ZymoBIOMICS DNA mini kit,Terrestrial
BC1,Portunus segnis,Blue swimming crab,Invertebrate,Unknown,Wild,Malta,Malta,2018,70% ethanol,Gut contents,QIAamp Fast DNA Stool Mini kit ,Marine
BC2,Portunus segnis,Blue swimming crab,Invertebrate,Unknown,Wild,Malta,Malta,2018,70% ethanol,Gut contents,QIAamp Fast DNA Stool Mini kit ,Marine
BC3,Portunus segnis,Blue swimming crab,Invertebrate,Unknown,Wild,Malta,Malta,2018,70% ethanol,Gut contents,QIAamp Fast DNA Stool Mini kit ,Marine
BC4,Portunus segnis,Blue swimming crab,Invertebrate,Unknown,Wild,Malta,Malta,2018,70% ethanol,Gut contents,QIAamp Fast DNA Stool Mini kit ,Marine
BC5,Portunus segnis,Blue swimming crab,Invertebrate,Unknown,Wild,Malta,Malta,2018,70% ethanol,Gut contents,QIAamp Fast DNA Stool Mini kit ,Marine
LFG1,Crangon crangon,Brown shrimp,Invertebrate,Unknown,Wild,"Lancashire, UK",UK,2018,Buffer AE ,Gut contents,Qiagen Blood and Tissue kit with proteinase K,Freshwater
LFG16,Crangon crangon,Brown shrimp,Invertebrate,Unknown,Wild,"Lancashire, UK",UK,2018,Buffer AE ,Gut contents,Qiagen Blood and Tissue kit with proteinase K,Freshwater
LFG2,Crangon crangon,Brown shrimp,Invertebrate,Unknown,Wild,"Lancashire, UK",UK,2018,Buffer AE ,Gut contents,Qiagen Blood and Tissue kit with proteinase K,Freshwater
LFG3,Crangon crangon,Brown shrimp,Invertebrate,Unknown,Wild,"Lancashire, UK",UK,2018,Buffer AE ,Gut contents,Qiagen Blood and Tissue kit with proteinase K,Freshwater
LFG4,Crangon crangon,Brown shrimp,Invertebrate,Unknown,Wild,"Lancashire, UK",UK,2018,Buffer AE ,Gut contents,Qiagen Blood and Tissue kit with proteinase K,Freshwater
LFG5,Crangon crangon,Brown shrimp,Invertebrate,Unknown,Wild,"Lancashire, UK",UK,2018,Buffer AE ,Gut contents,Qiagen Blood and Tissue kit with proteinase K,Freshwater
LFG6,Crangon crangon,Brown shrimp,Invertebrate,Unknown,Wild,"Lancashire, UK",UK,2018,Buffer AE ,Gut contents,Qiagen Blood and Tissue kit with proteinase K,Freshwater
LFG7,Crangon crangon,Brown shrimp,Invertebrate,Unknown,Wild,"Lancashire, UK",UK,2018,Buffer AE ,Gut contents,Qiagen Blood and Tissue kit with proteinase K,Freshwater
LFG8,Crangon crangon,Brown shrimp,Invertebrate,Unknown,Wild,"Lancashire, UK",UK,2018,Buffer AE ,Gut contents,Qiagen Blood and Tissue kit with proteinase K,Freshwater
LFG9,Crangon crangon,Brown shrimp,Invertebrate,Unknown,Wild,"Lancashire, UK",UK,2018,Buffer AE ,Gut contents,Qiagen Blood and Tissue kit with proteinase K,Freshwater
B4,Diploptera punctata,Cockroach,Invertebrate,Male,Captive,"Manchester, UK",Captive,2018,Liquid nitrogen and frozen at -80¡C,Gut contents,Qiagen Blood and Tissue kit with proteinase K and lysozyme,Terrestrial
F7M,Diploptera punctata,Cockroach,Invertebrate,Unknown,Captive,"Manchester, UK",Captive,2018,Liquid nitrogen and frozen at -80¡C,Gut contents,Qiagen Blood and Tissue kit with proteinase K and lysozyme,Terrestrial
GJ2,Diploptera punctata,Cockroach,Invertebrate,Unknown,Captive,"Manchester, UK",Captive,2018,Liquid nitrogen and frozen at -80¡C,Gut contents,Qiagen Blood and Tissue kit with proteinase K and lysozyme,Terrestrial
H5D,Diploptera punctata,Cockroach,Invertebrate,Female,Captive,"Manchester, UK",Captive,2018,Liquid nitrogen and frozen at -80¡C,Gut contents,Qiagen Blood and Tissue kit with proteinase K and lysozyme,Terrestrial
IGA,Diploptera punctata,Cockroach,Invertebrate,Male,Captive,"Manchester, UK",Captive,2018,Liquid nitrogen and frozen at -80¡C,Gut contents,Qiagen Blood and Tissue kit with proteinase K and lysozyme,Terrestrial
IGF,Diploptera punctata,Cockroach,Invertebrate,Male,Captive,"Manchester, UK",Captive,2018,Liquid nitrogen and frozen at -80¡C,Gut contents,Qiagen Blood and Tissue kit with proteinase K and lysozyme,Terrestrial
J5A,Diploptera punctata,Cockroach,Invertebrate,Male,Captive,"Manchester, UK",Captive,2018,Liquid nitrogen and frozen at -80¡C,Gut contents,Qiagen Blood and Tissue kit with proteinase K and lysozyme,Terrestrial
J5B,Diploptera punctata,Cockroach,Invertebrate,Male,Captive,"Manchester, UK",Captive,2018,Liquid nitrogen and frozen at -80¡C,Gut contents,Qiagen Blood and Tissue kit with proteinase K and lysozyme,Terrestrial
J5C,Diploptera punctata,Cockroach,Invertebrate,Male,Captive,"Manchester, UK",Captive,2018,Liquid nitrogen and frozen at -80¡C,Gut contents,Qiagen Blood and Tissue kit with proteinase K and lysozyme,Terrestrial
N5,Diploptera punctata,Cockroach,Invertebrate,Male,Captive,"Manchester, UK",Captive,2018,Liquid nitrogen and frozen at -80¡C,Gut contents,Qiagen Blood and Tissue kit with proteinase K and lysozyme,Terrestrial
P5,Diploptera punctata,Cockroach,Invertebrate,Unknown,Captive,"Manchester, UK",Captive,2018,Liquid nitrogen and frozen at -80¡C,Gut contents,Qiagen Blood and Tissue kit with proteinase K and lysozyme,Terrestrial
CS01,Cinachyrella sp.,Golfball sponge,Invertebrate,NA,Wild,"Florida Keys, USA",USA,2012,95% ethanol,Tissue (choanosome),Qiagen Blood and Tissue kit with proteinase K,Marine
CS02,Cinachyrella sp.,Golfball sponge,Invertebrate,NA,Wild,"Florida Keys, USA",USA,2012,95% ethanol,Tissue (choanosome),Qiagen Blood and Tissue kit with proteinase K,Marine
CS03,Cinachyrella sp.,Golfball sponge,Invertebrate,NA,Wild,"Florida Keys, USA",USA,2012,95% ethanol,Tissue (choanosome),Qiagen Blood and Tissue kit with proteinase K,Marine
CS04,Cinachyrella sp.,Golfball sponge,Invertebrate,NA,Wild,"Florida Keys, USA",USA,2012,95% ethanol,Tissue (choanosome),Qiagen Blood and Tissue kit with proteinase K,Marine
CS05,Cinachyrella sp.,Golfball sponge,Invertebrate,NA,Wild,"Florida Keys, USA",USA,2012,95% ethanol,Tissue (choanosome),Qiagen Blood and Tissue kit with proteinase K,Marine
CS06,Cinachyrella sp.,Golfball sponge,Invertebrate,NA,Wild,"Florida Keys, USA",USA,2012,95% ethanol,Tissue (choanosome),Qiagen Blood and Tissue kit with proteinase K,Marine
CS07,Cinachyrella sp.,Golfball sponge,Invertebrate,NA,Wild,"Florida Keys, USA",USA,2012,95% ethanol,Tissue (choanosome),Qiagen Blood and Tissue kit with proteinase K,Marine
CS08,Cinachyrella sp.,Golfball sponge,Invertebrate,NA,Wild,"Florida Keys, USA",USA,2012,95% ethanol,Tissue (choanosome),Qiagen Blood and Tissue kit with proteinase K,Marine
CS09,Cinachyrella sp.,Golfball sponge,Invertebrate,NA,Wild,"Florida Keys, USA",USA,2012,95% ethanol,Tissue (choanosome),Qiagen Blood and Tissue kit with proteinase K,Marine
CS10,Cinachyrella sp.,Golfball sponge,Invertebrate,NA,Wild,"Florida Keys, USA",USA,2012,95% ethanol,Tissue (choanosome),Qiagen Blood and Tissue kit with proteinase K,Marine
LF23,Amblyomma rotundatum,Hard tick,Invertebrate,Unknown,Wild,"Montserrat, Caribbean",Montserrat,2014,70% ethanol,Whole tick,Alkaline digest and ethanol precipitation,Terrestrial
LF29,Amblyomma rotundatum,Hard tick,Invertebrate,Unknown,Wild,"Montserrat, Caribbean",Montserrat,2014,70% ethanol,Whole tick,Alkaline digest and ethanol precipitation,Terrestrial
LF3,Amblyomma rotundatum,Hard tick,Invertebrate,Unknown,Wild,"Montserrat, Caribbean",Montserrat,2014,70% ethanol,Whole tick,Alkaline digest and ethanol precipitation,Terrestrial
LF33,Amblyomma rotundatum,Hard tick,Invertebrate,Unknown,Wild,"Montserrat, Caribbean",Montserrat,2014,70% ethanol,Whole tick,Alkaline digest and ethanol precipitation,Terrestrial
LF6,Amblyomma rotundatum,Hard tick,Invertebrate,Unknown,Wild,"Montserrat, Caribbean",Montserrat,2014,70% ethanol,Whole tick,Alkaline digest and ethanol precipitation,Terrestrial
RM16,Amblyomma rotundatum,Hard tick,Invertebrate,Unknown,Wild,"Montserrat, Caribbean",Montserrat,2014,70% ethanol,Whole tick,Alkaline digest and ethanol precipitation,Terrestrial
RM19,Amblyomma rotundatum,Hard tick,Invertebrate,Unknown,Wild,"Montserrat, Caribbean",Montserrat,2014,70% ethanol,Whole tick,Alkaline digest and ethanol precipitation,Terrestrial
RM20,Amblyomma rotundatum,Hard tick,Invertebrate,Unknown,Wild,"Montserrat, Caribbean",Montserrat,2014,70% ethanol,Whole tick,Alkaline digest and ethanol precipitation,Terrestrial
RM21,Amblyomma rotundatum,Hard tick,Invertebrate,Unknown,Wild,"Montserrat, Caribbean",Montserrat,2014,70% ethanol,Whole tick,Alkaline digest and ethanol precipitation,Terrestrial
RM22,Amblyomma rotundatum,Hard tick,Invertebrate,Unknown,Wild,"Montserrat, Caribbean",Montserrat,2014,70% ethanol,Whole tick,Alkaline digest and ethanol precipitation,Terrestrial
AGE3,Apis mellifera,Honey bee,Invertebrate,Female,Wild,North West of England,UK,2016,100% ethanol and frozen at -20C,Gut contents,Qiagen Blood and Tissue kit with proteinase K and lysozyme,Terrestrial
AND106-3,Apis mellifera,Honey bee,Invertebrate,Female,Wild,North West of England,UK,2016,100% ethanol and frozen at -20C,Gut contents,Qiagen Blood and Tissue kit with proteinase K and lysozyme,Terrestrial
BPO10,Apis mellifera,Honey bee,Invertebrate,Female,Wild,North West of England,UK,2016,100% ethanol and frozen at -20C,Gut contents,Qiagen Blood and Tissue kit with proteinase K and lysozyme,Terrestrial
CAT3,Apis mellifera,Honey bee,Invertebrate,Female,Wild,North West of England,UK,2016,100% ethanol and frozen at -20C,Gut contents,Qiagen Blood and Tissue kit with proteinase K and lysozyme,Terrestrial
GB5,Apis mellifera,Honey bee,Invertebrate,Female,Wild,North West of England,UK,2016,100% ethanol and frozen at -20C,Gut contents,Qiagen Blood and Tissue kit with proteinase K and lysozyme,Terrestrial
JGPH2,Apis mellifera,Honey bee,Invertebrate,Female,Wild,North West of England,UK,2017,100% ethanol and frozen at -20C,Gut contents,Qiagen Blood and Tissue kit with proteinase K and lysozyme,Terrestrial
LVA4,Apis mellifera,Honey bee,Invertebrate,Female,Wild,North West of England,UK,2016,100% ethanol and frozen at -20C,Gut contents,Qiagen Blood and Tissue kit with proteinase K and lysozyme,Terrestrial
MAD3,Apis mellifera,Honey bee,Invertebrate,Female,Wild,North West of England,UK,2016,100% ethanol and frozen at -20C,Gut contents,Qiagen Blood and Tissue kit with proteinase K and lysozyme,Terrestrial
MAN3,Apis mellifera,Honey bee,Invertebrate,Female,Wild,North West of England,UK,2016,100% ethanol and frozen at -20C,Gut contents,Qiagen Blood and Tissue kit with proteinase K and lysozyme,Terrestrial
PBO3,Apis mellifera,Honey bee,Invertebrate,Female,Wild,North West of England,UK,2016,100% ethanol and frozen at -20C,Gut contents,Qiagen Blood and Tissue kit with proteinase K and lysozyme,Terrestrial
SV01,Spheciospongia vesparium,Loggerhead sponge,Invertebrate,NA,Wild,"Little Crane Key, Florida, USA",USA,2014,95% ethanol,Tissue (choanosome),Qiagen Blood and Tissue kit with proteinase K,Marine
SV02,Spheciospongia vesparium,Loggerhead sponge,Invertebrate,NA,Wild,"Little Crane Key, Florida, USA",USA,2014,95% ethanol,Tissue (choanosome),Qiagen Blood and Tissue kit with proteinase K,Marine
SV03,Spheciospongia vesparium,Loggerhead sponge,Invertebrate,NA,Wild,"Little Crane Key, Florida, USA",USA,2014,95% ethanol,Tissue (choanosome),Qiagen Blood and Tissue kit with proteinase K,Marine
SV04,Spheciospongia vesparium,Loggerhead sponge,Invertebrate,NA,Wild,"Little Crane Key, Florida, USA",USA,2014,95% ethanol,Tissue (choanosome),Qiagen Blood and Tissue kit with proteinase K,Marine
SV05,Spheciospongia vesparium,Loggerhead sponge,Invertebrate,NA,Wild,"Little Crane Key, Florida, USA",USA,2014,95% ethanol,Tissue (choanosome),Qiagen Blood and Tissue kit with proteinase K,Marine
SV06,Spheciospongia vesparium,Loggerhead sponge,Invertebrate,NA,Wild,"Little Crane Key, Florida, USA",USA,2014,95% ethanol,Tissue (choanosome),Qiagen Blood and Tissue kit with proteinase K,Marine
SV07,Spheciospongia vesparium,Loggerhead sponge,Invertebrate,NA,Wild,"Little Crane Key, Florida, USA",USA,2014,95% ethanol,Tissue (choanosome),Qiagen Blood and Tissue kit with proteinase K,Marine
SV08,Spheciospongia vesparium,Loggerhead sponge,Invertebrate,NA,Wild,"Little Crane Key, Florida, USA",USA,2014,95% ethanol,Tissue (choanosome),Qiagen Blood and Tissue kit with proteinase K,Marine
SV09,Spheciospongia vesparium,Loggerhead sponge,Invertebrate,NA,Wild,"Little Crane Key, Florida, USA",USA,2014,95% ethanol,Tissue (choanosome),Qiagen Blood and Tissue kit with proteinase K,Marine
SV10,Spheciospongia vesparium,Loggerhead sponge,Invertebrate,NA,Wild,"Little Crane Key, Florida, USA",USA,2014,95% ethanol,Tissue (choanosome),Qiagen Blood and Tissue kit with proteinase K,Marine
TF14,Glossina fuscipes,Tsetse fly,Invertebrate,Female,Wild,"Patira East, Uganda",Uganda,2019,70% ethanol,Whole insect,Qiagen Blood and Tissue kit with proteinase K,Terrestrial
TF15,Glossina fuscipes,Tsetse fly,Invertebrate,Female,Wild,"Patira East, Uganda",Uganda,2019,70% ethanol,Whole insect,Qiagen Blood and Tissue kit with proteinase K,Terrestrial
TF16,Glossina fuscipes,Tsetse fly,Invertebrate,Male,Wild,"Patira East, Uganda",Uganda,2019,70% ethanol,Whole insect,Qiagen Blood and Tissue kit with proteinase K,Terrestrial
